date,economic,urban,fee,analytic
2015-01-06,681599.6406,2052285.569,1850797.239,40106.57145
2015-01-12,2065424.356,6156015.147,5573032.459,122577.0982
2015-01-13,689882.3862,2114731.418,1867184.341,42157.32534
2015-01-23,689835.2245,2114586.85,1867056.696,42476.69902
2015-01-27,689788.0627,2138771.306,1866929.052,43018.96953
2015-01-28,689740.9009,2169936.051,1866801.407,43629.03101
2015-01-29,2792124.248,8787921.737,7465929.182,179106.3918
2015-01-31,723135.0541,2224019.193,1866163.184,46091.95898
2015-02-03,723085.5921,2224302.868,1866035.54,46425.39051
2015-02-04,1446022.798,4448149.281,3758328.44,94098.26058
2015-02-05,1445824.95,4532055.101,3766725.803,96342.92675
2015-02-06,741155.2873,2265794.986,1887625.251,48898.86592
2015-02-09,2232639.911,6902876.082,5662100.759,149884.4182
2015-02-16,2251136.264,7314905.886,5660938.268,157390.7527
2015-02-18,2250673.986,7727514.468,5838287.699,166769.0774
2015-02-19,750121.9338,2605802.841,1957054.514,56753.27096
2015-02-24,750070.5697,2616841.543,1968137.638,57358.26959
2015-02-27,750019.2055,2627791.917,1968002.862,57844.03572
2015-03-02,749967.8414,2627611.956,2048848.239,59091.98396
2015-03-03,749916.4772,2627431.995,2068491.114,59680.43382
2015-03-05,752238.9342,2629625.855,2068349.437,60105.79426
2015-03-09,1504323.288,5258711.338,4274732.514,122872.9002
2015-03-10,1504117.181,5257990.844,4408564.707,125904.8085
2015-03-11,1521040.053,5262980.008,4542369.27,129225.7083
2015-03-12,1537959.403,5323772.534,4587221.616,132212.377
2015-03-13,869867.1181,2689513.938,2293375.025,68195.23878
2015-03-16,892472.8333,2689329.598,2293217.837,68862.05127
2015-03-17,922377.3481,2719110.948,2293060.649,69971.375
2015-03-18,922314.1196,2746124.694,2292903.461,70700.77559
2015-03-19,922250.8911,2745936.435,2332991.181,71589.54205
2015-03-20,922187.6626,2768179.037,2332831.234,72270.11577
2015-03-23,939415.762,2785280.569,2332671.287,73100.43203
2015-03-25,1007127.174,2852865.413,2332511.34,75161.02277
2015-03-26,2049071.742,5705143.938,4664542.837,152025.9317
2015-03-27,2109027.838,5719217.497,4674261.942,154786.7246
2015-04-02,1070577.455,2870307.3,2342069.786,78439.95928
2015-04-06,1070504.017,2896587.107,2368385.829,79535.72632
2015-04-07,1101460.158,2927417.976,2399252.933,81145.45255
2015-04-15,1101384.591,2927217.138,2399088.33,81586.46045
2015-04-16,1101309.025,2927016.3,2403411.008,82084.73706
2015-04-17,1101233.458,2947475.355,2403246.097,82791.15956
2015-04-22,4404178.164,11861208.61,9611335.282,336548.2291
2015-04-27,2201635.682,5941604.003,4806528.658,171122.7969
2015-04-28,1131681.912,3001473.523,2403942.077,87065.55797
2015-04-30,2263130.745,6002328.864,4807389.04,175477.4905
2015-05-01,1153809.352,3000855.342,2403446.963,88714.41299
2015-05-04,1153730.123,3019382.565,2403281.925,89419.45704
2015-05-05,1153650.894,3075401.789,2403116.888,90639.49898
2015-05-06,2307064.102,6215111.842,4805738.662,183541.5346
2015-05-07,5769202.5,15963869.75,12014387.24,472967.6639
2015-05-08,2307907.063,6434419.202,4805380.295,193174.4794
2015-05-13,1153834.588,3258776.954,2402442.49,97886.48839
2015-05-19,2320872.721,6552009.72,4826075.912,198195.4273
2015-05-20,1167037.209,3282387.601,2452017.528,100570.9222
2015-05-21,2333833.758,6790148.954,4903529.415,205883.393
2015-05-22,2333512.88,6824887.22,4902855.228,208340.1929
2015-05-26,1166636.11,3464246.086,2451174.794,105673.2701
2015-05-27,1166555.89,3468934.031,2451006.247,106234.0919
2015-05-28,1166475.67,3468695.485,2480392.579,107166.5262
2015-05-29,1166395.451,3480866.671,2480221.999,107843.6387
2015-06-03,2332550.242,7910345.704,4991457.451,232102.7122
2015-06-04,2332229.363,7936162.938,5027217.938,235171.5605
2015-06-05,2352045.361,8112498.586,5031450.05,240418.8033
2015-06-10,2391351.348,8148970.552,5030757.705,243759.1956
2015-06-11,1224226.846,4130848.255,2515119.223,124029.6263
2015-06-12,2451780.394,8359282.022,5029719.186,251302.6585
2015-06-16,12271730.71,43236412.58,25162805.93,1313715.63
2015-06-17,1235068.981,4358549.481,2517787.12,135208.7168
2015-06-18,1234983.91,4358249.264,2532366.744,136014.3818
2015-06-19,1243995.925,4357949.048,2541289.389,136879.9383
2015-06-22,1243910.227,4363180.462,2541114.321,137534.2905
2015-06-23,1243824.528,4362879.864,2555689.253,138345.655
2015-06-24,2516519.198,8724857.934,5150179.521,279546.9481
2015-06-25,1272692.662,4363944.33,2574823.601,140903.7067
2015-06-26,1272604.957,4363643.596,2574646.162,141469.585
2015-06-28,1272517.251,4363342.863,2590196.636,142307.5501
2015-06-29,3825870.644,13088224.19,8000914.721,434515.8487
2015-06-30,5135304.528,17589515.54,10684966.32,590870.8142
2015-07-01,2573016.072,8826161.55,5341378.087,299587.8905
2015-07-02,2572661.186,8824944.19,5376985.68,302552.5441
2015-07-03,1286197.511,4412015.585,2690670.23,152188.4745
2015-07-06,2602070.019,8823118.15,5410724.816,307205.6145
2015-07-07,2601711.001,8821900.792,5502526.541,311230.2663
2015-07-10,1300720.869,4410493.886,2768651.7,156817.845
2015-07-13,3950290.54,13354054.44,8304808.82,477194.0958
2015-07-14,1324692.563,4531231.779,2767887.513,161904.8057
2015-07-15,1324601.129,4530919.021,2850147.715,164053.7949
2015-07-17,1324509.695,4548272.117,2867616.83,165323.0173
2015-07-20,2648745.089,9183726.057,5734639.787,334132.3872
2015-07-21,1324235.394,4592859.4,2867611.697,168015.1694
2015-07-22,1324143.96,4592542.28,2878563.307,168835.7529
2015-07-23,1324052.526,4592225.159,2900513.258,169869.8069
2015-07-25,1333771.391,4591908.038,2900312.96,170668.3611
2015-07-27,1338584.09,4591590.917,2905017.473,171468.2704
2015-07-28,1338491.639,4591628.979,2904816.836,172085.3959
2015-08-03,4014920.217,13904655.17,8713246.688,522503.2844
2015-08-05,1338121.839,4692771.567,2904014.29,176549.9241
2015-08-06,4013810.817,14126861.33,8739076.123,534924.5856
2015-08-10,2675411.628,9522606.53,5847399.165,362293.9167
2015-08-11,1337567.139,4896173.331,2923396.493,184813.6573
2015-08-12,1337474.689,4895834.917,2923194.434,185446.5807
2015-08-14,1362080.288,4895496.503,2922992.374,186581.4554
2015-08-18,2754094.395,9789977.764,5849354.926,375765.6165
2015-08-20,1378892.504,4894481.261,2961893.83,189647.6855
2015-08-24,4137868.889,14681413.3,9328975.36,582001.992
2015-08-25,1381229.556,4894082.722,3109228.378,195362.5242
2015-08-26,2762172.53,9811612.305,6253146.851,393924.2139
2015-08-27,1380942.974,4943363.682,3152084.827,199282.1673
2015-08-28,2761599.366,9977726.376,6303515.513,402476.0458
2015-08-29,1380656.392,4990303.943,3169575.272,202653.0431
2015-08-31,1380560.865,4989958.665,3172293.369,203375.7523
2015-09-01,2774493.612,9983341.571,6343928.221,409120.6568
2015-09-03,2774109.612,10074592.72,6343050.199,413762.2928
2015-09-04,2796481.786,10178063.68,6342172.177,419190.1828
2015-09-07,4193996.772,15428848.92,9511611.974,637393.5629
2015-09-08,2795513.91,10339399.5,6460123.357,432160.0568
2015-09-10,2854483.93,10394220.41,6459228.696,437438.7877
2015-09-14,1431825.831,5196570.318,3229278.85,219848.4104
2015-09-15,2876555.588,10392060.87,6471088.143,442337.6813
2015-09-16,4333886.274,15586708.1,9724751.396,669556.8376
2015-09-18,1444428.588,5195068.824,3246414.639,224679.8193
2015-09-22,2888556.919,10428193.74,6629028.028,455434.9532
2015-09-24,1448864.681,5233122.204,3314169.482,229310.9541
2015-09-25,1448764.267,5242656.779,3313939.793,230231.4804
2015-09-28,5794052.936,21113583.89,13400052.74,934679.7104
2015-09-30,1448262.2,5314127.546,3386078.955,237123.6187
2015-10-01,1448161.787,5323920.941,3385844.185,238065.4068
2015-10-02,1466014.346,5323551.788,3385609.416,239191.7697
2015-10-06,4397433.089,16074824.53,10391366.2,729918.1415
2015-10-07,1480148.078,5357531.62,3603202.755,248402.7663
2015-10-08,2959988.155,10734482.31,7205655.729,499469.2508
2015-10-10,1479840.077,5409264.211,3602452.973,251843.9581
2015-10-12,6251002.788,21654074.57,14440597.46,1024009.98
2015-10-13,4689456.423,16324142.3,10836138.14,778118.2241
2015-10-14,3125761.822,10993595.75,7222838.607,525203.5422
2015-10-16,1562718.173,5507040.109,3611043.257,263979.8214
2015-10-20,3169313.664,11072747.95,7221334.423,532766.6783
2015-10-21,3168873.558,11086821.18,7299699.011,538118.97
2015-10-22,1616247.567,5542833.171,3699176.246,272229.3751
2015-10-23,3310193.623,11143109.05,7397581.777,550163.2681
2015-10-26,1654924.376,5600271.81,3722910.917,277579.2571
2015-10-27,1654809.419,5599882.794,3722652.31,278341.8375
2015-10-30,3309273.965,11281485.06,7444528.797,561084.8985
2015-11-01,1654464.547,5741490.042,3721876.488,284280.2832
2015-11-02,3357332.529,11497540.62,7491725.46,573786.6138
2015-11-03,1678491.288,5760801.945,3745472.278,288383.3487
2015-11-04,3374123.931,11529706.11,7490163.653,579793.0283
2015-11-05,1715904.097,5768903.515,3744691.375,291938.8726
2015-11-06,5246800.633,17304304.5,11276807.4,884272.4028
2015-11-09,3570539.786,11769194.06,7531328.961,601932.9941
2015-11-10,1817475.447,5886011.244,3797663.478,303924.6915
2015-11-11,5451668.007,17655577.82,11391405.87,916572.8855
2015-11-12,1816969.891,6005775.196,3796607.104,310366.6695
2015-11-16,3749355.197,12010589.25,7593298.392,626294.8774
2015-11-17,1874481.973,6057086.575,3796691.226,315789.086
2015-11-18,1874351.556,6069615.533,3796427.072,316954.699
2015-11-19,3813907.983,12137964.1,7592061.68,638138.9575
2015-11-20,1920080.318,6072262.678,3795634.609,320766.8761
2015-11-25,1930946.583,6082839.975,3795370.454,322187.4686
2015-11-27,1930812.19,6082416.614,3795106.3,323009.3754
2015-11-30,1930677.798,6091726.317,3794842.145,324098.2199
2015-12-01,1930543.406,6091302.279,3794577.991,324920.8042
2015-12-03,5822936.264,18275060.14,11391879.74,980957.2951
2015-12-08,1940708.48,6103008.755,3798386.211,329016.0347
2015-12-11,1940573.342,6102583.784,3798121.718,329840.6363
2015-12-14,3884298.185,12203892.66,7599006.869,662354.2526
2015-12-17,1943724.595,6115583.192,3800884.903,332914.791
2015-12-18,1943589.21,6115157.226,3838722.892,334813.1519
2015-12-21,1943453.824,6114731.261,3838455.497,335641.8973
2015-12-22,3886501.493,12247633.14,7676108.809,674321.5214
2016-01-03,1952345.84,6132900.52,3846951.483,339209.6377
2016-01-04,7812883.463,24579132.7,15504983.53,1370207.147
2016-01-07,3912915.167,12303176.26,7911873.419,695427.0387
2016-01-08,1963462.632,6158154.554,3985215.171,350249.9427
2016-01-13,1963325.758,6170407.945,3984937.359,351461.7375
2016-01-14,1963188.884,6169977.772,3984659.547,352306.5974
2016-01-20,1972768.811,6169547.599,3994098.537,353717.853
2016-01-22,1972631.26,6173657.284,3993820.047,354696.7087
2016-01-27,5919836.984,18614105.1,11985326.24,1072227.575
2016-01-29,1984077.119,6221172.623,3998242.735,360052.8226
2016-02-01,1983938.731,6220738.699,4056007.953,362620.7172
2016-02-02,3967462.296,12686414.52,8111167.133,735125.2557
2016-02-04,3966908.741,13226284.21,8129042.504,755304.9209
2016-02-06,1983246.788,6765008.534,4068950.545,383684.4126
2016-02-08,1983108.399,6766478.215,4068666.619,384637.0475
2016-02-10,1982970.011,6766006.025,4102935.872,386570.8725
2016-02-11,1982831.622,6765533.835,4105561.729,387555.5936
2016-02-15,1982693.233,6781747.359,4105275.188,388956.9996
2016-02-16,4038395.42,13562074.66,8209690.753,782836.1815
2016-02-17,4047221.259,13560181.24,8220189.71,787080.2526
2016-02-18,2023398.711,6779380.587,4114933.299,395053.632
2016-02-22,8379308.053,27428135.54,16524362.86,1609848.642
2016-02-23,2094461.284,6869706.264,4137934.56,405408.3421
2016-02-24,4200631.075,13751939.38,8288968.394,814807.0471
2016-02-26,4212190.744,13750018.12,8388178.9,821983.1373
2016-02-29,2105874.661,6874288.584,4200922.537,412599.6668
2016-03-01,12646697.14,41499896.13,25199371.21,2503753.215
2016-03-03,4224079.309,13895397.77,8398169.037,844404.7805
2016-03-04,2111818.182,7005015.709,4199007.595,425458.9638
2016-03-08,2139673.771,7004525.951,4198714.02,427286.7077
2016-03-15,6418123.675,21028017.04,12594380.61,1288018.024
2016-03-16,6649248.76,21112623.88,12591738.43,1306830.282
2016-03-17,4432057.373,14419493.47,8393024.411,887221.65
2016-03-22,2215796.147,7247819.881,4196071.842,446307.5796
2016-03-23,2222575.064,7247312.793,4202712.211,447717.3826
2016-03-24,4444683.592,14499106.89,8439703.067,899657.3474
2016-03-28,2222108.528,7251793.681,4219408.597,451364.6434
2016-03-31,2221953.017,7268879.966,4236707.101,453485.3667
2016-04-01,2221797.505,7270258.736,4236410.579,454508.6306
2016-04-05,9090103.582,29291340.22,17072148.48,1845937.512
2016-04-11,6999613.29,22516730.65,12806417.12,1419584.889
2016-04-12,2338655.542,7799100.73,4268207.875,485276.893
2016-04-15,4907334.1,15611289.66,8535519.005,981869.3125
2016-04-18,7381800.087,23475913.39,12861810.15,1485394.048
2016-04-20,2468329.782,7842298.603,4290915.188,498210.0273
2016-04-21,4944360.878,15691168.98,8621454.797,1001439.916
2016-04-22,2476030.52,7851286.807,4314384.24,502763.4035
2016-04-27,2475857.007,7850736.612,4314081.9,503789.4512
2016-04-29,12415944.2,39433896.9,21594868.31,2543240.446
2016-05-03,7483714.595,23748097.2,13075957.86,1547140.258
2016-05-06,4988268.511,15906541.81,8726066.4,1039675.22
2016-05-09,7566544.775,23874102.17,13086804.8,1570971.17
2016-05-10,5481895.519,15919434.29,8723006.662,1068284.917
2016-05-11,5510603.286,15947074.94,8751657.012,1075687.608
2016-05-12,2755011.662,7972698.295,4375367.973,539433.49
2016-05-13,2798405.674,7972138.847,4375060.951,542053.2485
2016-05-16,11478363.2,31895957.4,17510170.09,2190100.788
2016-05-17,2900443.501,7972590.16,4403363.133,552288.1256
2016-05-18,8700108.836,23914412.42,13208234.7,1663298.802
2016-05-19,5799054.501,15962854.17,8818415.764,1115584.849
2016-05-20,5798240.055,16097727.92,8831647.794,1125431.515
2016-05-23,5845650.542,16219843.57,8830407.264,1136095.906
2016-05-24,2946628.933,8109067.299,4424382.742,570919.6671
2016-05-25,8866174.385,24513315.33,13271283.36,1727322.839
2016-05-26,11884344.74,32714398.35,17690693.14,2322258.324
2016-05-27,2970564.192,8223924.309,4421896.26,585051.8787
2016-05-30,11963565.14,33317237.99,17684476.94,2370425.49
2016-05-31,12016117.63,33728907.77,17775463.45,2409859.966
2016-06-01,3003501.292,8448391.605,4443084.619,605927.5435
2016-06-02,3003290.046,8447797.401,4453608.25,607459.363
2016-06-08,12181009.28,33959591.88,17982827.45,2460836.463
2016-06-09,3061850.515,8528711.845,4499372.4,620411.2193
2016-06-10,3061635.074,8528111.738,4499055.811,621543.3566
2016-06-14,3061419.633,8527511.632,4498739.221,622675.4938
2016-06-15,3086396.383,8552103.717,4498422.631,625761.4487
2016-06-16,9272785.364,25675645.07,13493368.36,1885573.753
2016-06-17,9329578.248,25723903.72,13503329.17,1900706.394
2016-06-20,6287500.333,17185218.29,9017713.961,1277745.773
2016-06-21,3165641.692,8613925.15,4508380.743,642341.5949
2016-06-22,3185567.901,8633467.676,4508063.251,645080.8115
2016-06-23,6428174.129,17265111.25,9111807.446,1299728.453
2016-06-30,3351693.037,8631643.576,4555422.381,657076.6464
2016-07-01,6709709.859,17261463.05,9109882.077,1317928.793
2016-07-04,6715796.057,17259030.92,9273446.886,1329462.421
2016-07-05,6714849.67,17256598.78,9414438.924,1339858.904
2016-07-06,6734854.866,17275118.23,9422552.166,1346632.516
2016-07-08,3370563.156,8640137.684,4710778.01,675365.2908
2016-07-11,6740413.569,17467847.8,9478348.371,1364279.536
2016-07-12,3369850.413,8733000.361,4767566.287,685093.0786
2016-07-14,3369612.832,8732384.668,4848436.488,689586.1532
2016-07-18,3369375.251,8731768.974,4848094.639,690781.2765
2016-07-20,3369137.669,8731153.28,4847752.791,691976.3998
2016-07-22,3368900.088,8837858.859,4847410.942,697561.2508
2016-07-25,3368662.507,8837235.596,4847069.094,698763.9426
2016-07-26,3384274.316,8836612.334,4846727.245,700617.2441
2016-07-27,3403197.619,8835989.072,4846385.397,702609.0518
2016-07-28,13753275.6,35388526.91,19432926.35,2832595.56
2016-07-29,3462424.758,8859454.421,4861608.18,712947.401
2016-08-01,7078992.842,17738749.24,9722187.231,1436880.205
2016-08-02,7099708.006,17948446.47,9772823.821,1453695.225
2016-08-04,3549478.185,9042509.602,4885894.593,731586.3804
2016-08-05,7132611.638,18104229.98,9770754.549,1469205.247
2016-08-08,10753640.88,27261725.24,14653545.24,2220110.279
2016-08-09,10779665.86,27632442.58,14650441.33,2248413.861
2016-08-10,7185175.112,18442475.15,9803602.346,1507847.409
2016-08-12,7336317.26,18439869.82,9840580.555,1520988.382
2016-08-16,3682154.585,9283686.572,4919768.895,765767.9589
2016-08-17,11149892.29,27887247.54,14757221.15,2311123.045
2016-08-18,11147528.69,28051097.19,14754092.86,2329855.294
2016-08-26,7490465.783,18711995.94,9856079.666,1563774.633
2016-08-29,7511160.965,18710069.18,9926952.29,1572993.587
2016-09-01,3755182.209,9354401.841,4964027.788,788476.1722
2016-09-09,7521448.266,18746370.55,9927002.61,1583036.997
2016-09-12,3779769.474,9411410.153,4962974.823,796009.601
2016-09-14,3801494.247,9410744.565,4962623.834,798259.4033
2016-09-15,3823117.251,9410078.977,4962272.846,800507.976
2016-09-16,7674399.121,18835442.84,9923492.727,1606918.418
2016-09-19,3845432.917,9441882.198,4961219.881,806886.0539
2016-09-20,19294107.05,47691604.44,24800834.58,4078864.37
2016-09-21,3895493.993,9591383.353,4959113.951,823796.483
2016-09-22,3895218.283,9590704.51,4958762.963,825102.0242
2016-09-23,3894942.574,9603054.856,4958411.974,826991.3749
2016-09-27,3894666.865,9614338.166,4970024.062,829371.6866
2016-09-30,11738562.51,28859025.94,14907961.18,2499402.714
2016-10-04,11778525.4,28852896.16,14943061.6,2514844.185
2016-10-05,8085464.919,19245201.9,9973032.114,1694962.626
2016-10-07,4042302.945,9647043.964,4985986.271,850622.5994
2016-10-10,4042016.602,9646360.601,4993279.248,852294.3294
2016-10-12,4041730.259,9671222.901,4992925.516,854785.1042
2016-10-13,4138303.498,9702824.258,4992571.784,862021.3903
2016-10-14,4152185.443,9702136.797,4992218.052,864005.638
2016-10-17,8339793.624,19434692.32,9983374.909,1735181.004
2016-10-18,4226834.332,9732553.225,4991156.857,872987.5172
2016-10-21,4226534.768,9731863.462,5000123.094,874760.6054
2016-10-24,13195055.74,29269791.52,14998242.93,2659919.607
2016-10-25,4417697.754,9792661.005,4998705.524,892019.6459
2016-10-28,4417384.553,9791966.737,4998351.132,893381.508
2016-10-31,8836098.627,19617877.89,9995639.087,1792634.259
2016-11-01,4418713.913,9809030.146,5019738.734,899517.1378
2016-11-03,8836487.74,19621526.09,10138674.36,1808086.489
2016-11-04,17697864.53,39336741.86,20273034.24,3638758.301
2016-11-05,4438667.822,9883450.558,5067359.711,916233.3197
2016-11-07,8876390.845,19795110.44,10176701.22,1840070.324
2016-11-08,4437723.022,9911657.726,5107807.057,923771.1051
2016-11-09,4459474.786,9910954.322,5107444.57,926201.2324
2016-11-11,8918000.073,19863736.24,10213801.68,1858644.826
2016-11-14,4458525.288,10004596.58,5106357.108,934922.9326
2016-11-15,4465671.696,10011349.29,5105994.621,937026.304
2016-11-18,8930392.305,20050071.15,10210901.78,1879638.59
2016-11-24,4464720.609,10116757.4,5104907.159,946366.7373
2016-11-25,4464403.58,10120690.1,5104544.672,947988.5532
2016-11-28,8927856.073,20240084.81,10208001.88,1900213.314
2016-11-29,4463452.493,10128659.5,5103457.211,952672.9619
2016-11-30,4463135.464,10135932.88,5103094.723,954459.1003
2016-12-01,4469570.817,10135212.9,5102732.236,956186.2183
2016-12-05,4469253.308,10189502.8,5102369.749,960259.3128
2016-12-06,4468935.799,10190590.73,5102007.262,961751.3781
2016-12-07,4468618.291,10189866.71,5253312.149,970548.0208
2016-12-08,4492137.164,10212979.07,5252938.885,974290.0496
2016-12-09,13703684.06,30829177.41,15756577.07,2952152.419
2016-12-12,4725527.432,10298157.81,5256941.414,996084.5134
2016-12-13,4725191.55,10297425.83,5256567.76,997526.025
2016-12-16,4784805.295,10296693.86,5256194.106,1001920.909
2016-12-19,9679085.776,20591191.79,10511267.25,2013636.521
2016-12-20,9754149.014,20860768.02,10509772.63,2036716.668
2016-12-21,14705446,31285589.56,15797770.88,3071645.035
2016-12-23,4913273.826,10427046.53,5266444.716,1027480.071
2017-01-04,4912924.35,10426304.86,5266070.12,1028945.805
2017-01-09,9824800.275,20984093.91,10531016.45,2068981.092
2017-01-10,4911875.924,10496248.35,5281158.146,1037776.172
2017-01-13,4922890.146,10499289.44,5280782.397,1040009.333
2017-01-16,4922539.862,10505536.51,5280406.648,1041834.305
2017-01-18,4926169.102,10508768.46,5280030.898,1043708.915
2017-01-19,9860258.332,21020909.77,10558934.55,2092577.104
2017-01-23,9874623.301,21038594.6,10557431.55,2100322.308
2017-01-25,4936784.479,10528512.27,5288620.783,1053430.853
2017-01-30,9872514.615,21054775.96,10582963.3,2111642.875
2017-01-31,9871108.825,21069731.23,10588307.08,2118819.621
2017-02-01,14850970.88,31648823.01,15879633.25,3194278.004
2017-02-02,9938547.743,21103099.81,10645990.12,2142512.582
2017-02-03,4976762.83,10550422.48,5361171.562,1075891.004
2017-02-06,9952462.022,21130980.17,10765886.82,2160226.737
2017-02-08,4975699.192,10583377.2,5404712.077,1084488.416
2017-02-09,4975344.645,10618561.24,5404326.962,1087844.031
2017-02-10,4978531.373,10617804.56,5403941.846,1089524.104
2017-02-13,4981028.404,10617047.87,5403556.731,1091168.873
2017-02-14,5000160.464,10616291.19,5403171.615,1093679.614
2017-02-15,15043489.07,31859382.12,16207204.15,3293171.288
2017-02-16,20243558.64,42478608.6,21612658.42,4422856.31
2017-02-22,5078518.294,10617759.09,5404312.491,1110557.362
2017-02-24,5078156.111,10624040.87,5403927.074,1112433.184
2017-03-01,10155225.68,21245808.57,10850293.57,2231686.665
2017-03-03,10154239.97,21244677.07,10892338.24,2240146.766
2017-03-06,10153254.17,21354723.26,10890784.14,2252212.05
2017-03-07,5076083.763,10676218.89,5444809.279,1128374.875
2017-03-08,5084258.94,10683994.46,5452958.144,1131252.767
2017-03-09,10178677.13,21413071.12,10904748.88,2270180.496
2017-03-10,5129210.782,10705389.37,5451790.737,1139528.42
2017-03-13,5128844.671,10709370.84,5451401.602,1141302.195
2017-03-15,5163970.239,10744098.06,5451012.466,1146632.548
2017-03-16,10326834.55,21721985.5,10904771.8,2310750.974
2017-03-17,10412264.48,21805788.31,10908145.02,2326526.686
2017-03-20,5205574.617,10935880.02,5453996.47,1167446.725
2017-03-21,5205202.87,10942688.21,5453606.982,1169399.767
2017-03-22,5445755.939,10941906.7,5453217.494,1184003.144
2017-03-23,5459824.203,10955582.41,5467285.226,1187917.557
2017-03-24,5473186.621,10968552.28,5466894.706,1190975.796
2017-03-27,10968671.75,21936916.12,10934779.99,2388160.941
2017-03-28,5485082.135,10971031.63,5467885.129,1196765.873
2017-03-30,11064185.68,21958674.4,10953560.97,2405516.49
2017-03-31,5579096.746,11011116.45,5476193.456,1209528.615
2017-04-03,11201430.17,22029237.78,10951212.86,2426744.727
2017-04-04,11287550.25,22044345.15,10967903.75,2439902.391
2017-04-05,5643169.979,11071368.95,5492491.698,1225609.64
2017-04-06,11331428.42,22179333.27,10991134.34,2461103.515
2017-04-07,11346610.72,22185635.99,10996891.04,2469330.782
2017-04-10,11354461.56,22208732.13,10995318.32,2477686.533
2017-04-12,5676621.743,11111572.25,5497069.386,1241700.892
2017-04-13,22734848.45,44460902.21,21984345.73,4985821.698
2017-04-18,11413613.69,22405916.65,10989813.78,2515325.423
2017-04-19,5707717.649,11201755.9,5495840.434,1260238.786
2017-04-21,22842356.09,44968579.67,22347504.18,5088248.643
2017-04-25,5721244.291,11275023.09,5677891.897,1283932.994
2017-04-26,17181318.02,33872957.54,17063925.5,3867531.746
2017-04-27,5769119.327,11310802.84,5702092.776,1296935.33
2017-04-28,11742781.15,22619175.86,11402960.61,2610505.651
2017-05-01,5907426.896,11308373.02,5703705.642,1309967.443
2017-05-02,5907003.789,11318027.21,5703297.126,1312207.877
2017-05-03,23625911.67,45370891.86,22809103.34,5271520.133
2017-05-04,5933427.307,11355752.88,5701254.544,1324470.445
2017-05-08,11865579.16,22709064.72,11401283.54,2653882.943
2017-05-09,17849531.21,34129331.26,17131944.26,4002408.818
2017-05-11,18039239.69,34166412.99,17144800.13,4032065.725
2017-05-12,18222420.04,34513563.94,17141112.82,4078596.024
2017-05-15,24684445.02,46280797.56,22861325.13,5501404.991
2017-05-17,6189465.986,11579372.55,5721007.393,1381755.643
2017-05-18,12395167.87,23195915.52,11440783.58,2771940.167
2017-05-22,6222299.914,11613308.93,5719776.187,1390979.542
2017-05-23,18796808.88,35026557.3,17156866.15,4202277.887
2017-05-24,6274356.013,11693335.72,5718134.578,1405883.755
2017-05-25,12594290.2,23445806.65,11435037.95,2823325.34
2017-05-26,12592482.17,23490363.83,11564593.41,2840820.992
