cat,year,month,sum,cumulative
economic,2015,1,9021529.87,9021529.87
economic,2015,2,13340750.5,22362280.37
economic,2015,3,19875675.65,42237956.02
economic,2015,4,16547095.22,58785051.24
economic,2015,5,27820518.3,86605569.54
economic,2015,6,46853207.08,133458776.6
economic,2015,7,31492494.68,164951271.3
economic,2015,8,35397404.11,200348675.4
economic,2015,9,41304276.91,241652952.3
economic,2015,10,46744160.93,288397113.3
economic,2015,11,48708383.77,337105497
economic,2015,12,25236328.8,362341825.8
economic,2016,1,31417435.91,393759261.7
economic,2016,2,50934641.02,444693902.8
economic,2016,3,51948814.56,496642717.3
economic,2016,4,57719826.5,554362543.8
economic,2016,5,127753699.7,682116243.5
economic,2016,6,71480042.92,753596286.4
economic,2016,7,81204898.25,834801184.7
economic,2016,8,101896792.1,936697976.8
economic,2016,9,80813834.76,1017511812
economic,2016,10,87939928.46,1105451740
economic,2016,11,106721480.2,1212173220
economic,2016,12,89359678.34,1301532899
economic,2017,1,78836489.22,1380369388
economic,2017,2,110073229.6,1490442617
economic,2017,3,146849444.9,1637292062
economic,2017,4,170954271.5,1808246334
economic,2017,5,232568286.2,2040814620
economic,2017,6,239401426.6,2280216047
economic,2017,7,207451307.2,2487667354
economic,2017,8,202520793,2690188147
economic,2017,9,145430997.7,2835619144
economic,2017,10,234288562.2,3069907707
economic,2017,11,241387758.2,3311295465
economic,2017,12,153529205.1,3464824670
economic,2018,1,164813750.4,3629638420
economic,2018,2,124228917.2,3753867338
economic,2018,3,220636371.7,3974503709
economic,2018,4,193914028,4168417737
economic,2018,5,199248373.6,4367666111
economic,2018,6,209549570.1,4577215681
economic,2018,7,125767018,4702982699
economic,2018,8,126617262,4829599961
economic,2018,9,118337461.2,4947937422
economic,2018,10,169360310.7,5117297733
economic,2018,11,130999108.8,5248296842
economic,2018,12,111655305.6,5359952147
economic,2019,1,101632629.3,5461584777
economic,2019,2,203829288,5665414065
economic,2019,3,177194004.2,5842608069
economic,2019,4,147165550.7,5989773619
economic,2019,5,95514494.36,6085288114
economic,2019,6,149515993.2,6234804107
economic,2019,7,118709567.3,6353513674
economic,2019,8,98348753.71,6451862428
economic,2019,9,88304109.95,6540166538
economic,2019,10,111272457,6651438995
economic,2019,11,90048855.97,6741487851
economic,2019,12,79566010.01,6821053861
economic,2020,1,34269158.49,6855323019
economic,2020,2,126855010.4,6982178030
economic,2020,3,139767128,7121945158
economic,2020,4,59070699.67,7181015858
economic,2020,5,142747476.5,7323763334
economic,2020,6,183055815,7506819149
economic,2020,7,160864548.8,7667683698
economic,2020,8,112877360.5,7780561058
economic,2020,9,153833540.9,7934394599
economic,2020,10,90664911.73,8025059511